name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url
三軒茶屋ダイヤモンドマンション 3999万円（1LDK）,中古マンション,3999,44.13,1LDK,即引渡可,1977年5月,2,RC3階建,東京都世田谷区三宿１,東急田園都市線,三軒茶屋,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71604038/
グリーンキャピタル三軒茶屋 3999万円（2LDK）,中古マンション,3999,47.84,2LDK,相談,1976年9月,4,RC6階建,東京都世田谷区三軒茶屋２,東急田園都市線,三軒茶屋,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71520602/
ペナテス玉川 4099万円（3LDK）,中古マンション,4099,67.39,3LDK,即引渡可,1975年4月,3,RC5階建,東京都世田谷区中町２,東急大井町線,等々力,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70062454/
上町マンション 4150万円（2LDK）,中古マンション,4150,50.76,2LDK,2023年2月,1969年9月,7,RC12階建,東京都世田谷区世田谷３-11-8,東急世田谷線,上町,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71084007/
コープ野村用賀 4180万円（2LDK）,中古マンション,4180,55.38,2LDK,即引渡可,1984年9月,3,RC4階建,東京都世田谷区用賀１,東急田園都市線,用賀,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70799781/
秀和上野毛レジデンス 4180万円（2LDK）,中古マンション,4180,43.55,2LDK,即引渡可,1975年2月,5,RC7階建,東京都世田谷区上野毛３,東急大井町線,上野毛,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71483820/
マンション第一明大前 4199万円（2LDK）,中古マンション,4199,55.22,2LDK,相談,1973年12月,4,SRC13階建,東京都世田谷区松原２-42－12,京王線,明大前,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70883583/
セザール豪徳寺 4250万円（3LDK）,中古マンション,4250,51.88,3LDK,相談,1994年5月,3,RC4階建,東京都世田谷区宮坂１,東急世田谷線,宮の坂,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71371583/
シャンピア北沢 4280万円（2LDK）,中古マンション,4280,49.69,2LDK,相談,1974年8月,10,SRC11階建,東京都世田谷区上北沢４-18-15,京王線,上北沢,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71718245/
ライオンズマンション三軒茶屋ＮＡＫＡＭＵＲＡ 4280万円（1LDK）,中古マンション,4280,43.55,1LDK,相談,1983年3月,6,SRC10階建,東京都世田谷区三軒茶屋２,東急田園都市線,三軒茶屋,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98219366/
ニュー奥沢ハイツ 2880万円（2DK）,中古マンション,2880,44.05,2DK,即引渡可,1972年9月,5,RC7階建,東京都世田谷区奥沢１,東急目黒線,奥沢,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70600697/
砧スカイハイツ 4290万円（2LDK）,中古マンション,4290,66,2LDK,即引渡可,1975年7月,8,SRC9階建,東京都世田谷区砧１,小田急線,千歳船橋,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71722688/
グラーサ上用賀　世田谷区上用賀３ 4290万円（1LDK）,中古マンション,4290,37.03,1LDK,相談,2003年8月,1,RC6階建,東京都世田谷区上用賀３,東急田園都市線,用賀,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71612577/
