name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url,latitude,longitude
弦巻リハイム 3780万円（1LDK）,中古マンション,3780,55.89,1LDK,相談,1974年3月,1.0,SRC10階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71061284/,35.6368497,139.6394707
グリーンキャピタル第2上野毛 3780万円（2LDK）,中古マンション,3780,50.0,2LDK,相談,1984年2月,1.0,RC4階建,東京都世田谷区上野毛２,東急大井町線,上野毛,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71684564/,35.6077765,139.6356453
弦巻ハイツ 3798万円（2LDK）,中古マンション,3798,54.82,2LDK,相談,1971年4月,6.0,RC11階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71509025/,35.6368497,139.6394707
ハウス深沢 3798万円（2LDK）,中古マンション,3798,62.31,2LDK,相談,1979年10月,4.0,RC4階建,東京都世田谷区深沢８,東急田園都市線,桜新町,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71621580/,35.625136,139.6445716
ボヌール三軒茶屋 3800万円（1K）,中古マンション,3800,32.89,1K,相談,2000年12月,2.0,RC6階建,東京都世田谷区太子堂２,東急田園都市線,三軒茶屋,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71609543/,35.6467476,139.6726343
～家電付きです！　ダイアパレス三宿～ 3880万円（2LDK）,中古マンション,3880,48.5,2LDK,相談,1979年4月,2.0,RC4階建,東京都世田谷区三宿２-11-27,東急田園都市線,池尻大橋,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_97776188/,35.6525231,139.6766495
キャッスル世田谷 3890万円（2LDK）,中古マンション,3890,39.4,2LDK,相談,1970年5月,4.0,SRC7階建,東京都世田谷区下馬２,東急田園都市線,三軒茶屋,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71702626/,35.6402547,139.676462
弦巻ハイツ 3898万円（2LDK）,中古マンション,3898,54.82,2LDK,相談,1971年4月,11.0,RC11階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71617373/,35.6368497,139.6394707
東京グランドコープス 3899万円（2LDK）,中古マンション,3899,63.72,2LDK,即引渡可,1975年10月,3.0,RC3階建,東京都世田谷区桜上水２,小田急線,経堂,16,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71477112/,35.6597545,139.6279953
千歳台ヒミコセラン 2799万円（2LDK）,中古マンション,2799,58.42,2LDK,即引渡可,1982年5月,4.0,RC4階建,東京都世田谷区千歳台３,小田急線,祖師ヶ谷大蔵,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71635995/,35.65232659999999,139.6152476
代田砦ハイム 3980万円（3LDK）,中古マンション,3980,70.98,3LDK,相談,1970年9月,2.0,RC6階建,東京都世田谷区代田１,小田急線,世田谷代田,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98161641/,35.6529684,139.6624281
