区分,名称,都道府県,市区群,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
認可保育園,にじのこ,東京都,世田谷区（69.9％）,東京都世田谷区奥沢7-36-9,9,10,12,15,15,15,76,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6071271,139.6610927,"35.6071271,139.6610927",九品仏,5
認可保育園,いいほいくえん 用賀分園※18,東京都,世田谷区（69.9％）,東京都世田谷区用賀3-12-19,6,,,,,,6,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6286647,139.6372591,"35.6286647,139.6372591",用賀,7
認可保育園,東玉川善隣,東京都,世田谷区（69.9％）,東京都世田谷区東玉川2-35-16,,10,11,11,11,11,54,,,7:15:00,18:15:00,18:15:00,20:15:00,35.5992323,139.6731327,"35.5992323,139.6731327",奥沢,8
認可保育園,かほる,東京都,世田谷区（69.9％）,東京都世田谷区上野毛3-11-1,6,7,8,8,8,8,45,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6129637,139.6364622,"35.6129637,139.6364622",上野毛,5
認可保育園,ラフ・クルー駒沢 ※19,東京都,世田谷区（69.9％）,東京都世田谷区駒沢4-29-16,,4,4,12,12,13,45,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6300402,139.6535988,"35.6300402,139.6535988",駒沢大学,12
認可保育園,おひさま※14,東京都,世田谷区（69.9％）,東京都世田谷区尾山台3-33-2,6,10,10,,,,26,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6063532,139.6551533,"35.6063532,139.6551533",尾山台,4
認可保育園,ホームマミーおくさわ ※1,東京都,世田谷区（69.9％）,東京都世田谷区奥沢8-15-8,2,5,5,,,,12,36日,,7:15:00,18:15:00,,,35.6039785,139.6609332,"35.6039785,139.6609332",九品仏,3
認可保育園,駒沢ほしにねがいを A※2,東京都,世田谷区（69.9％）,東京都世田谷区駒沢3-26-3 WOOD COURT101,3,3,3,,,,9,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6311045,139.651855,"35.6311045,139.651855",桜新町,12
認可保育園,ラフ・クルー駒沢公園 ナーサリー※3,東京都,世田谷区（69.9％）,東京都世田谷区駒沢公園1-1 Tote駒沢公園2階,3,8,8,,,,19,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6248717,139.6606741,"35.6248717,139.6606741",駒沢大学,17
認可保育園,等々力ほしにねがい を※4,東京都,世田谷区（69.9％）,東京都世田谷区等々力4-5-9 キラクプレイス等々力I-B,6,6,7,,,,19,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6083136,139.6497725,"35.6083136,139.6497725",等々力,4
認証保育園,マミーズエンジェル 奥沢保育園,東京都,世田谷区（69.9％）,東京都世田谷区奥沢3-44-2-1階,,,,,,,36,,生後36日~ 小学校就学前,7:30:00,22:00:00,,,35.6034642,139.6746478,"35.6034642,139.6746478",奥沢,4
認証保育園,ベビールーム等々力,東京都,世田谷区（69.9％）,東京都世田谷区等々力1-19-9 1階,,,,,,,31,,生後56日~ 2歳児,7:00:00,20:00:00,,,35.6034079,139.6477399,"35.6034079,139.6477399",等々力,10
認証保育園,ピノキオ幼児舎 上野毛園,東京都,世田谷区（69.9％）,東京都世田谷区上野毛1-9-14 メゾン田園1階,,,,,,,28,,生後1か月~ 小学校就学前,7:00:00,21:00:00,,,35.6108193,139.6393312,"35.6108193,139.6393312",上野毛,4
